iter	Passed	Remaining
0	58	58273
1	58	29246
2	58	19567
3	59	14716
4	59	11817
5	59	9883
6	59	8504
7	60	7465
8	60	6659
9	60	6012
10	60	5484
11	61	5044
12	61	4671
13	61	4353
14	62	4077
15	62	3835
16	62	3621
17	62	3431
18	63	3260
19	63	3105
20	63	2964
21	63	2836
22	64	2719
23	64	2613
24	64	2516
25	64	2425
26	65	2344
27	65	2267
28	65	2194
29	65	2126
30	66	2063
31	66	2004
32	66	1947
33	66	1895
34	66	1845
35	67	1797
36	67	1753
37	67	1710
38	67	1670
39	67	1631
40	68	1595
41	68	1560
42	68	1527
43	68	1495
44	69	1465
45	69	1436
46	69	1410
47	69	1383
48	69	1358
49	70	1333
50	70	1310
51	70	1287
52	70	1265
53	71	1245
54	71	1224
55	71	1205
56	71	1186
57	71	1169
58	72	1151
59	72	1135
60	72	1118
61	72	1103
62	73	1088
63	73	1074
64	73	1060
65	73	1046
66	74	1033
67	74	1017
68	74	1004
69	74	992
70	74	980
71	75	969
72	75	957
73	75	946
74	75	935
75	76	924
76	76	913
77	76	904
78	76	895
79	77	885
80	77	876
81	77	866
82	77	857
83	77	849
84	77	839
85	78	830
86	78	821
87	78	813
88	78	805
89	78	798
90	79	790
91	79	783
92	79	775
93	79	769
94	80	762
95	80	755
96	80	748
97	80	742
98	80	735
99	81	729
100	81	723
101	81	716
102	81	710
103	81	704
104	82	699
105	82	693
106	82	688
107	82	683
108	82	678
109	83	673
110	83	668
111	83	663
112	83	658
113	84	653
114	84	648
115	84	643
116	84	639
117	84	634
118	85	629
119	85	625
120	85	621
121	85	617
122	85	612
123	86	608
124	86	604
125	86	600
126	86	596
127	86	592
128	87	588
129	87	585
130	87	581
131	87	577
132	88	574
133	88	570
134	88	567
135	88	563
136	88	560
137	89	556
138	89	553
139	89	550
140	89	547
141	90	544
142	90	541
143	90	538
144	90	535
145	90	532
146	91	529
147	91	526
148	91	523
149	91	520
150	92	517
151	92	514
152	92	511
153	92	509
154	92	506
155	93	504
156	93	501
157	93	498
158	93	496
159	93	493
160	94	490
161	94	488
162	94	485
163	94	483
164	95	481
165	95	480
166	95	477
167	95	475
168	96	473
169	96	470
170	96	468
171	96	466
172	97	463
173	97	461
174	97	459
175	97	457
176	97	455
177	98	453
178	98	451
179	98	449
180	98	446
181	98	444
182	99	442
183	99	440
184	99	438
185	99	436
186	99	434
187	100	432
188	100	431
189	100	429
190	100	427
191	101	425
192	101	423
193	101	421
194	101	419
195	101	418
196	102	416
197	102	414
198	102	412
199	102	410
200	102	409
201	103	407
202	103	405
203	103	404
204	103	402
205	104	400
206	104	399
207	104	397
208	104	396
209	104	394
210	105	392
211	105	391
212	105	389
213	105	388
214	105	386
215	106	385
216	106	384
217	106	382
218	107	381
219	107	380
220	107	379
221	108	378
222	108	377
223	108	376
224	108	374
225	109	373
226	109	372
227	109	370
228	109	369
229	109	367
230	110	366
231	110	365
232	110	363
233	110	362
234	110	361
235	111	359
236	111	358
237	111	357
238	111	356
239	112	354
240	112	353
241	112	352
242	112	351
243	112	350
244	113	348
245	113	347
246	113	346
247	113	345
248	114	344
249	114	343
250	114	341
251	114	340
252	115	339
253	115	338
254	115	337
255	115	336
256	115	335
257	116	334
258	116	333
259	116	332
260	116	331
261	117	329
262	117	328
263	117	327
264	117	326
265	118	325
266	118	324
267	118	323
268	118	322
269	118	321
270	119	320
271	119	319
272	119	318
273	119	317
274	120	316
275	120	315
276	120	315
277	120	313
278	121	312
279	121	311
280	121	310
281	121	310
282	122	309
283	122	308
284	122	307
285	122	306
286	122	305
287	123	304
288	123	303
289	123	302
290	123	301
291	124	300
292	124	299
293	124	298
294	124	298
295	124	297
296	125	296
297	125	295
298	125	294
299	125	293
300	126	292
301	126	291
302	126	291
303	126	290
304	127	289
305	127	288
306	127	287
307	127	287
308	127	286
309	128	285
310	128	284
311	128	283
312	128	282
313	129	282
314	129	281
315	129	280
316	129	279
317	130	279
318	130	278
319	130	277
320	130	276
321	131	275
322	131	275
323	131	274
324	131	273
325	131	272
326	132	271
327	132	271
328	132	270
329	132	269
330	133	269
331	133	268
332	133	267
333	134	267
334	134	266
335	134	265
336	134	265
337	135	264
338	135	263
339	135	263
340	135	262
341	136	261
342	136	261
343	136	260
344	136	259
345	136	258
346	137	258
347	137	257
348	137	256
349	137	256
350	138	255
351	138	254
352	138	254
353	138	253
354	139	252
355	139	251
356	139	251
357	139	250
358	139	249
359	140	249
360	140	248
361	140	247
362	140	247
363	141	246
364	141	245
365	141	245
366	141	244
367	142	243
368	142	243
369	142	242
370	142	241
371	142	241
372	143	240
373	143	240
374	143	239
375	143	238
376	144	238
377	144	237
378	144	237
379	144	236
380	145	235
381	145	235
382	145	234
383	145	233
384	146	233
385	146	232
386	146	232
387	146	231
388	146	230
389	147	230
390	147	229
391	147	229
392	147	228
393	148	227
394	148	227
395	148	226
396	148	226
397	149	225
398	149	224
399	149	224
400	149	223
401	149	223
402	150	222
403	150	221
404	150	221
405	150	220
406	151	220
407	151	219
408	151	219
409	151	218
410	152	218
411	152	217
412	152	216
413	152	216
414	153	215
415	153	215
416	153	214
417	153	214
418	153	213
419	154	212
420	154	212
421	154	211
422	154	211
423	155	210
424	155	210
425	155	209
426	155	209
427	156	208
428	156	208
429	156	207
430	156	207
431	157	206
432	157	205
433	157	205
434	157	204
435	157	204
436	158	203
437	158	203
438	158	202
439	158	202
440	159	201
441	159	201
442	159	200
443	159	200
444	160	199
445	160	199
446	160	198
447	160	198
448	161	197
449	161	197
